,TB,,,,,,,Malaria (p.falc),,,,,,,,,,,,,,,Malaria (p.vivax),,,,,,,,Malaria,HIV,,,,,,,,,,,,,RoundWorm,,,Hookworm,,Whipworm,,,Worms,,,,Schistosomiasis,,LF,,,Total,,,TB,,,,,,,Malaria (p.falc),,,,,,,,,,,,,,,,,,,Malaria (p.vivax),,,,,,,Malaria,HIV,,,,,,,,,,,,RoundWorm,,,Hookworm,,Whipworm,,,,,,Worms,Schistomasis,,Onchocerciasis,,LF,,,Total
Country,Impact of Active TB/HIV+ Treatment Regimen,Impact of Active TB/HIV- Treatment Regimen,Impact of MDR-TB Treatment Regimen,,,Impact of XDR-TB Treatment Regimen,Total Impact,Impact of AL,Impact of AS+SP,Impact of DHA-PPQ,Impact of AS+MQ,Impact of AS+AQ,Impact of CQ + PQ,Impact of DHA-PPQ + PQ,Impact of ART + NQ,Impact of ART + PPQ,Impact of AL + PQ,Impact of SP,Impact of AS + MQ + PQ,Impact of QN + CL,Impact of QN + D,Total Impact (p.falc),Impact of CQ+PQ,Impact of CQ,Impact of CQ + PG,Impact of AL,Impact of AL+PQ,Impact of AS + AQ,Impact of DHA-PPQ+PQ,Total Impact (p.vivax),Total Impact,Impact of 3TC,Impact of ABC,Impact of AZT,Impact of ddl,Impact of d4T,Impact of EFV,Impact of FTC,Impact of LPV/r,Impact of NVP,Impact of TDF,Impact of ATV/r,Impact of NFV,Total Impact,Alb,Mbd,Ivm+Alb,Alb,Mbd,Alb,Mbd,Ivm+Alb,Impact of Roundworm,Impact of Hookworm,Impact of Whipworm,Total Impact,PZQ,Total Impact,Impact of Single dose of DEC (6mg/kg)+ALB(400mg),Impact of Combination of ALB(400mg)+IVM(400ug/kg),Total Impact,,,Country,Impact of Active TB/HIV+ Treatment Regimen,Impact of Active TB/HIV- Treatment Regimen,Impact of MDR-TB Treatment Regimen,,,Impact of XDR-TB Treatment Regimen,Total Impact,AL,AL+PQ,AM,ART+NQ,ART+PPQ,AS+AQ,AS+MQ,AS+MQ+PQ,AS+SP,AS+SP+PQ,AT+PG,CQ+PQ,DHA-PPQ,DHA-PPQ+PQ,PQ,QN,QN+CL,QN+D,Total Impact (p.falc),CQ + PQ,CQ,DHA-PPQ,AL,AL + PQ,AS + AQ + PQ,Total Impact (p.vivax),Total Impact,Impact of 3TC,Impact of ABC,Impact of AZT,Impact of ddl,Impact of d4T,Impact of EFV,Impact of FTC,Impact of LPV/r,Impact of NVP,Impact of ATV/r,Impact of TDF,Total Impact,Alb,Mbd,Ivm+Alb,Alb,Mbd,Alb,Mbd,Ivm+Alb,Impact of Roundworm,Impact of Hookworm,Impact of Whipworm,Total Impact,PZQ,Total Impact,Impact of Ivermectin,Total Impact,Impact of Single dose of DEC (6mg/kg)+ALB(400mg),Impact of Combination of ALB(400mg)+IVM(400ug/kg),Total Impact,
Drug,"isoniazid (INH or H), rifampin (R or RMP), ethambutol (E or EMB), and pyrazinamide (Z or PZA).","isoniazid (INH or H), rifampin (R or RMP), ethambutol (E or EMB), and pyrazinamide (Z or PZA).",Z+S+Lfx+Eto+Cs+PAS,S+Lfx+Eto+Cs+PAS,Km+Lfx+Eto+Cs+PAS,Cs+ Km(or)Amk(or)Cm+Lfx(or)Mfx(or)Gfx(or)Ofx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drug,"isoniazid (INH or H), rifampin (R or RMP), ethambutol (E or EMB), and pyrazinamide (Z or PZA).","isoniazid (INH or H), rifampin (R or RMP), ethambutol (E or EMB), and pyrazinamide (Z or PZA).",Z+S+Lfx+Eto+Cs+PAS,S+Lfx+Eto+Cs+PAS,Km+Lfx+Eto+Cs+PAS,Cs+ Km(or)Amk(or)Cm+Lfx(or)Mfx(or)Gfx(or)Ofx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,21.31,6.52,0.00,0.00,0.00,0.03,27.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.64,0.09,2.95,0.02,0.17,2.41,0.25,0.47,0.63,0.69,0.39,0.01,11.72, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,39.58,, Antigua and Barbuda,3.09,19.70,0.00,0.00,0.00,0.00,22.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.83,0.00,0.31,0.00,0.00,0.64,0.23,0.07,0.34,0.01,0.77,3.20, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,25.99
Argentina,"15,326.58","15,657.76",0.00,0.00,0.00,25.23,"31,009.56",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.98,0.00,0.00,0.00,0.00,0.00,0.00,0.98,0.98,351.40,8.80,280.61,0.44,17.44,242.30,25.34,38.69,56.37,70.33,39.56,0.26,"1,131.55", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"32,142.09",, Argentina,"2,386.28","15,220.87",212.90,23.28,206.64,15.88,"18,065.85",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"3,783.18",122.26,"1,502.67",3.14,16.20,"2,719.59",953.98,350.74,"1,618.61",50.93,"3,192.02","14,313.30", , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,"32,379.15"
Armenia,70.92,"7,813.62",24.05,3.72,62.78,3.42,"7,978.51",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,79.28,0.04,32.71,0.00,35.49,33.92,4.90,0.47,49.80,15.95,0.00,0.00,252.55, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"8,231.05",, Armenia,445.71,"2,842.96",234.26,9.89,115.17,12.88,"3,660.88",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.91,0.02,2.21,0.00,0.00,4.55,1.66,0.50,2.42,0.09,5.51,22.88, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,"3,683.76"
Aruba,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,0.00,, Aruba,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,0.00
Australia,70.08,"2,955.47",4.14,0.64,6.63,0.23,"3,037.19",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.71,0.09,9.76,0.00,10.67,9.97,1.40,0.20,14.92,4.58,0.00,0.00,75.30, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"3,112.49",, Australia,158.76,"1,012.67",8.34,1.55,13.55,0.84,"1,195.71",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.29,0.42,10.59,0.01,0.05,21.62,7.62,2.33,11.58,0.39,25.57,108.46, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,"1,304.17"
Austria,360.67,"1,846.20",2.49,0.39,4.68,0.26,"2,214.69",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.88,0.12,0.30,0.00,0.46,0.27,0.00,0.09,0.50,0.00,0.00,0.00,2.63, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"2,217.32",, Austria,133.93,854.24,5.14,1.17,10.87,0.62,"1,005.97",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,"1,005.97"
Azerbaijan,191.18,"38,012.84",26.47,4.10,92.37,31.45,"38,358.41",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,128.52,0.05,53.08,0.00,57.58,54.76,7.89,0.74,80.91,25.71,0.00,0.00,409.24, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"38,767.74",, Azerbaijan,"3,251.47","20,739.50","1,682.59",86.51,"2,048.39",136.87,"27,945.34",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.93,0.41,9.97,0.01,0.05,19.37,7.00,2.33,10.85,0.40,23.24,99.55, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,"28,044.90"
Bahamas,90.92,147.71,0.00,0.00,0.00,0.19,238.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,238.82,, Bahamas,19.21,122.55,3.10,0.08,0.89,2.86,148.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,148.69
Bahrain,30.41,"1,200.99",0.00,0.00,0.00,0.81,"1,232.20",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.23,0.07,4.20,0.00,4.62,4.28,0.59,0.10,6.42,1.94,0.00,0.00,32.46, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"1,264.66",, Bahrain,59.10,376.95,0.00,0.00,0.00,0.00,436.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.03,0.15,14.14,0.00,0.00,29.42,10.71,3.19,15.53,0.60,35.53,147.31, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,583.35
Bangladesh,"1,741.59","1,180,990.99",40.88,6.33,97.13,"1,296.23","1,184,173.15","8,335.85",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"8,335.85","1,193.11",0.00,0.00,0.00,0.00,0.00,0.00,"1,193.11","9,528.95",153.90,0.81,63.19,0.00,69.31,64.92,9.10,1.43,96.54,29.70,0.00,0.00,488.90,"  5,114.93 ", , ,"  1,441.49 ", ,  252.30 , , ,"  5,114.93 ","  1,441.49 ",  252.30 ,"  6,808.71 ",,  -   ,  652.34 ,,  652.34 ,"1,209,987.90",, Bangladesh,"69,911.68","445,931.57","28,646.99","2,627.70","36,016.83","2,412.64","585,547.42","24,896.72",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"24,896.72","1,833.89",0.00,0.00,0.00,0.00,0.00,"1,833.89","26,730.62",96.37,5.81,40.35,0.16,0.84,64.00,22.17,10.71,42.69,1.28,74.03,358.42,"  47,371.82 ", ,"  40,789.86 ","  9,975.47 ", ,"  1,206.30 ", ,"  2,820.36 ","88,161.69","9,975.47","4,026.66","102,163.82",,0.00,,0.00,  4.28 ,  0.64 ,4.92,"714,805.19"
