,TB,,,,,,,Malaria (p.falc),,,,,,,,,,,,,,,Malaria (p.vivax),,,,,,,,Malaria,HIV,,,,,,,,,,,,,RoundWorm,,,Hookworm,,Whipworm,,,Worms,,,,Schistosomiasis,,LF,,,Total,,,TB,,,,,,,Malaria (p.falc),,,,,,,,,,,,,,,,,,,Malaria (p.vivax),,,,,,,Malaria,HIV,,,,,,,,,,,,RoundWorm,,,Hookworm,,Whipworm,,,,,,Worms,Schistomasis,,Onchocerciasis,,LF,,,Total
Country,Impact of Active TB/HIV+ Treatment Regimen,Impact of Active TB/HIV- Treatment Regimen,Impact of MDR-TB Treatment Regimen,,,Impact of XDR-TB Treatment Regimen,Total Impact,Impact of AL,Impact of AS+SP,Impact of DHA-PPQ,Impact of AS+MQ,Impact of AS+AQ,Impact of CQ + PQ,Impact of DHA-PPQ + PQ,Impact of ART + NQ,Impact of ART + PPQ,Impact of AL + PQ,Impact of SP,Impact of AS + MQ + PQ,Impact of QN + CL,Impact of QN + D,Total Impact (p.falc),Impact of CQ+PQ,Impact of CQ,Impact of CQ + PG,Impact of AL,Impact of AL+PQ,Impact of AS + AQ,Impact of DHA-PPQ+PQ,Total Impact (p.vivax),Total Impact,Impact of 3TC,Impact of ABC,Impact of AZT,Impact of ddl,Impact of d4T,Impact of EFV,Impact of FTC,Impact of LPV/r,Impact of NVP,Impact of TDF,Impact of ATV/r,Impact of NFV,Total Impact,Alb,Mbd,Ivm+Alb,Alb,Mbd,Alb,Mbd,Ivm+Alb,Impact of Roundworm,Impact of Hookworm,Impact of Whipworm,Total Impact,PZQ,Total Impact,Impact of Single dose of DEC (6mg/kg)+ALB(400mg),Impact of Combination of ALB(400mg)+IVM(400ug/kg),Total Impact,,,Country,Impact of Active TB/HIV+ Treatment Regimen,Impact of Active TB/HIV- Treatment Regimen,Impact of MDR-TB Treatment Regimen,,,Impact of XDR-TB Treatment Regimen,Total Impact,AL,AL+PQ,AM,ART+NQ,ART+PPQ,AS+AQ,AS+MQ,AS+MQ+PQ,AS+SP,AS+SP+PQ,AT+PG,CQ+PQ,DHA-PPQ,DHA-PPQ+PQ,PQ,QN,QN+CL,QN+D,Total Impact (p.falc),CQ + PQ,CQ,DHA-PPQ,AL,AL + PQ,AS + AQ + PQ,Total Impact (p.vivax),Total Impact,Impact of 3TC,Impact of ABC,Impact of AZT,Impact of ddl,Impact of d4T,Impact of EFV,Impact of FTC,Impact of LPV/r,Impact of NVP,Impact of ATV/r,Impact of TDF,Total Impact,Alb,Mbd,Ivm+Alb,Alb,Mbd,Alb,Mbd,Ivm+Alb,Impact of Roundworm,Impact of Hookworm,Impact of Whipworm,Total Impact,PZQ,Total Impact,Impact of Ivermectin,Total Impact,Impact of Single dose of DEC (6mg/kg)+ALB(400mg),Impact of Combination of ALB(400mg)+IVM(400ug/kg),Total Impact,
Drug,"isoniazid (INH or H), rifampin (R or RMP), ethambutol (E or EMB), and pyrazinamide (Z or PZA).","isoniazid (INH or H), rifampin (R or RMP), ethambutol (E or EMB), and pyrazinamide (Z or PZA).",Z+S+Lfx+Eto+Cs+PAS,S+Lfx+Eto+Cs+PAS,Km+Lfx+Eto+Cs+PAS,Cs+ Km(or)Amk(or)Cm+Lfx(or)Mfx(or)Gfx(or)Ofx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drug,"isoniazid (INH or H), rifampin (R or RMP), ethambutol (E or EMB), and pyrazinamide (Z or PZA).","isoniazid (INH or H), rifampin (R or RMP), ethambutol (E or EMB), and pyrazinamide (Z or PZA).",Z+S+Lfx+Eto+Cs+PAS,S+Lfx+Eto+Cs+PAS,Km+Lfx+Eto+Cs+PAS,Cs+ Km(or)Amk(or)Cm+Lfx(or)Mfx(or)Gfx(or)Ofx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbados,19.14,58.52,0.00,0.00,0.00,0.06,77.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.84,0.17,5.46,0.02,0.34,4.59,0.49,0.82,1.16,1.37,0.77,0.01,22.07, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,99.78,, Barbados,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.26,0.07,6.40,0.00,0.00,13.38,4.86,1.44,7.03,0.27,16.13,66.84, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,66.94
Belarus,589.99,"23,563.78",45.41,7.03,99.24,56.41,"24,361.86",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,307.40,0.12,127.33,0.00,138.06,129.29,18.38,1.73,194.76,60.27,0.00,0.00,977.35, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"25,339.21",, Belarus,"1,152.93","7,353.99","2,980.21",85.62,936.17,143.49,"12,652.41",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,131.78,1.05,49.84,0.01,0.08,100.31,36.61,11.52,54.48,2.09,121.23,509.00, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,"13,161.41"
Belgium,167.17,"3,497.07",3.20,0.50,8.30,0.28,"3,676.51",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.83,1.22,2.98,0.00,4.64,2.72,0.00,0.93,4.99,0.00,0.00,0.00,26.31, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"3,702.82",, Belgium,183.44,"1,170.08",3.65,1.20,9.49,0.51,"1,368.39",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,"1,368.39"
Belize,80.89,481.95,0.00,0.00,0.00,0.39,563.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.74,0.00,0.00,0.00,0.00,0.00,0.00,2.74,2.74,93.40,2.30,75.14,0.30,4.57,62.68,6.58,11.34,15.79,18.28,10.30,0.18,300.86, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,866.84,, Belize,67.95,433.43,0.00,0.00,0.00,0.75,502.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.03,0.03,14.65,0.69,6.04,0.02,0.10,10.05,3.49,1.48,6.44,0.19,11.68,54.83, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,557.00
Benin,"10,743.57","88,294.70",4.91,0.76,11.49,1.41,"99,056.84","1,118,501.44",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,118,501.44",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,118,501.44","1,364.45",25.53,553.15,0.00,625.38,550.37,69.83,25.68,854.34,230.23,0.00,0.00,"4,298.96", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,  748.42 ,  748.42 ,,  8.39 ,  8.39 ,"2,341,115.50",, Benin,"12,826.56","81,814.18",559.74,65.11,847.76,52.80,"96,166.15","154,711.80",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"154,711.80",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"154,711.80",400.56,30.52,171.85,0.87,4.48,256.00,85.84,46.00,180.47,4.68,289.01,"1,470.30", , , , , , , , ,0.00,0.00,0.00,0.00,"  5,505.15 ","5,505.15",0.01,0.01,,  7.51 ,7.51,"257,860.92"
Bermuda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,0.00,, Bermuda,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.88,0.00,0.33,0.00,0.00,0.68,0.25,0.07,0.36,0.01,0.82,3.40, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,3.41
Bhutan,962.64,"4,927.60",1.45,0.22,3.41,1.07,"5,896.39",14.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.85,17.68,0.00,0.00,0.00,0.00,0.00,0.00,17.68,32.53,5.51,0.03,2.26,0.00,2.47,2.36,0.34,0.05,3.44,1.09,0.00,0.00,17.55, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"5,961.32",, Bhutan,721.25,"4,600.51",45.73,4.05,35.69,3.06,"5,410.31",113.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,113.92,167.23,0.00,0.00,0.00,0.00,0.00,167.23,281.16,1.02,0.00,0.38,0.00,0.00,0.79,0.29,0.09,0.42,0.02,0.95,3.95, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,"5,695.41"
Bolivia,"3,280.66","68,180.76",0.00,0.00,0.00,47.24,"71,508.65",0.00,0.00,0.00,3.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.24,40.07,0.00,0.00,0.00,0.00,0.00,0.00,40.07,43.32,766.63,20.74,600.71,0.85,41.22,516.93,58.83,88.26,128.34,163.64,92.27,0.50,"2,478.93", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"74,034.15",, Bolivia,"3,284.75","20,951.77",405.52,39.72,378.38,29.53,"25,089.67",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.01,28.96,0.10,10.45,0.00,0.00,22.92,8.11,2.20,11.54,0.41,27.25,111.94, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,"25,202.62"
"Bonaire, Saint Eustatius and Saba",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,0.00,," Bonaire, Saint Eustatius and Saba",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,0.00
Bosnia and Herzegovina,0.00,"7,524.55",0.86,0.13,1.23,0.67,"7,527.45",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.43,0.06,0.14,0.00,0.22,0.13,0.00,0.04,0.24,0.00,0.00,0.00,1.27, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"7,528.72",, Bosnia and Herzegovina,394.05,"2,513.44",0.86,0.53,4.23,0.20,"2,913.30",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,"2,913.30"
Botswana,"10,602.62","8,589.87",17.19,2.66,35.15,2.58,"19,250.08","5,123.15",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"5,123.15",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"5,123.15","2,937.76",23.18,"1,213.83",0.00,"1,339.08","1,177.36",155.25,31.32,"1,880.77",516.92,0.00,0.00,"9,275.47", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,  88.30 ,  88.30 ,,,  -   ,"38,860.16",, Botswana,"8,490.23","54,154.90",0.00,0.00,0.00,0.00,"62,645.13",627.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,627.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,627.22,"2,332.29",99.98,947.07,2.66,13.72,"1,630.74",562.14,223.15,"1,013.53",29.30,"1,889.84","8,744.41", , , , , , , , ,0.00,0.00,0.00,0.00,  285.10 ,285.10,0.00,0.00,,,0.00,"72,301.86"
Brazil,"41,242.97","286,507.19",110.99,17.18,192.21,64.80,"328,135.35",32.61,0.00,0.00,31.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64.00,286.24,0.00,0.00,0.00,0.00,0.00,0.00,286.24,350.24,"8,202.43",212.88,"6,484.39",3.20,422.26,"5,666.26",611.28,882.68,"1,310.82","1,697.39",955.25,1.90,"26,450.73", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,"  4,413.86 ","  4,413.86 ",,  -   ,  -   ,"359,414.17",, Brazil,"25,103.88","160,125.08",748.46,112.41,987.09,66.26,"187,143.17",0.00,2.33,0.00,0.00,0.00,0.00,0.00,2.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.56,33.76,0.00,0.00,0.00,0.00,0.00,33.76,38.33,"26,289.59",698.93,"10,268.91",17.60,90.67,"19,233.00","6,809.37","2,405.37","11,107.32",368.48,"22,729.25","100,018.50", , , , , , , , ,0.00,0.00,0.00,0.00,"  3,796.41 ","3,796.41",0.00,0.00,,  -   ,0.00,"290,996.41"
British Virgin Islands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,0.00,, British Virgin Islands,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,0.04
Brunei Darussalam,1.88,676.90,0.00,0.00,0.00,0.44,679.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.56,0.02,0.22,0.00,0.26,0.23,0.03,0.01,0.34,0.09,0.00,0.00,1.76, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,  0.01 ,,  0.01 ,680.98,, Brunei Darussalam,45.89,292.68,0.00,0.00,0.00,0.51,339.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,  -   ,  -   ,0.00,339.08
Bulgaria,8.28,"11,216.19",9.12,1.41,23.96,2.07,"11,261.04",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.03,0.07,0.00,0.11,0.07,0.00,0.03,0.12,0.00,0.00,0.00,0.66, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"11,261.70",, Bulgaria,359.95,"2,295.94",0.00,0.00,0.00,5.34,"2,661.23",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,"2,661.23"
Burkina Faso,"23,877.96","170,667.28",20.27,3.14,46.08,100.33,"194,715.05","903,061.14",0.00,0.00,0.00,"741,556.81",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,644,617.95",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,644,617.95","1,064.44",13.09,434.79,0.00,484.23,436.22,57.80,15.14,668.92,190.13,0.00,0.00,"3,364.78", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,"  11,029.25 ","  11,029.25 ",,  73.57 ,  73.57 ,"3,498,418.55",, Burkina Faso,"28,053.43","178,938.77","11,081.99",158.95,"2,082.88",477.71,"220,793.71","254,418.08",0.00,0.00,0.00,0.00,"258,005.20",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"512,423.27",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"512,423.27",577.01,36.29,239.96,1.03,5.29,385.23,131.04,62.55,254.10,7.06,440.49,"2,140.06", , , , , , , , ,0.00,0.00,0.00,0.00,"  1,080.43 ","1,080.43",0.00,0.00,,  46.99 ,46.99,"736,484.46"
Burundi,"75,067.67","387,240.62",30.09,4.66,65.36,38.57,"462,446.96",0.00,0.00,0.00,0.00,"176,333.60",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"176,333.60",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"176,333.60","3,990.95",44.59,"1,627.03",0.00,"1,808.68","1,663.01",225.40,54.17,"2,492.48",736.05,0.00,0.00,"12,642.37", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,  856.80 ,  856.80 ,,,  -   ,"828,613.33",, Burundi,"24,214.46","154,451.92","8,397.10",114.89,"1,557.37",361.02,"189,096.77",0.00,0.00,0.00,0.00,0.00,"79,621.79",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"79,621.79",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"79,621.79","2,295.02",131.43,943.38,3.73,19.07,"1,557.47",533.36,243.00,"1,002.38",28.75,"1,790.82","8,548.40", , , , , , , , ,0.00,0.00,0.00,0.00,  274.60 ,274.60,10.87,10.87,,,0.00,"277,552.43"
Cambodia,"9,792.66","213,563.39",3.30,0.51,5.68,60.66,"223,426.20",0.00,0.00,0.00,104.93,0.00,0.00,89.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,194.80,0.00,121.01,0.00,0.00,0.00,0.00,0.00,121.01,315.81,"1,349.42",28.45,547.75,0.00,623.49,528.55,64.19,27.32,853.33,213.93,0.00,0.00,"4,236.43", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,"  23,390.05 ","  23,390.05 ",,,  -   ,"251,563.28",, Cambodia,"13,669.85","87,193.09",0.00,0.00,0.00,0.00,"100,862.93",0.00,0.00,0.00,0.00,0.00,0.00,"3,846.71",0.00,0.00,0.00,0.00,0.00,0.00,"3,274.46",0.00,0.00,0.00,0.00,"7,121.18",0.00,0.00,"4,787.92",0.00,0.00,0.00,"4,787.92","11,909.10","3,983.28",14.90,"1,457.17",0.00,0.00,"3,121.97","1,118.96",316.20,"1,605.41",58.66,"3,736.78","15,413.33", , , , , , , , ,0.00,0.00,0.00,0.00,"  1,099.96 ","1,099.96",0.00,0.00,,,0.00,"129,285.33"
Cameroon,"56,486.55","112,224.27",5.68,0.88,12.34,79.56,"168,809.28",0.00,0.00,0.00,0.00,"1,743,596.25",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,743,596.25",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,743,596.25","50,416.99",548.84,"20,579.54",0.00,"22,857.36","20,941.52","2,831.26",671.63,"31,552.86","9,262.53",0.00,0.00,"159,662.52","  155,369.93 ", ,"  36,086.54 ",  945.03 , ,  135.78 , ,  462.62 ,"  191,456.47 ",  945.03 ,  598.40 ,"  192,999.90 ","  1,469.76 ","  1,469.76 ",,  77.46 ,  77.46 ,"4,010,211.41",, Cameroon,"15,894.87","101,385.39",0.00,0.00,0.00,0.00,"117,280.26",0.00,0.00,0.00,0.00,0.00,"343,461.97",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"343,461.97",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"343,461.97","38,770.32","1,603.06","15,553.80",44.31,226.35,"27,271.74","9,613.16","3,946.17","16,660.73",543.11,"32,035.35","146,268.09", , , , , , , , ,0.00,0.00,0.00,0.00,"  3,592.98 ","3,592.98",152.93,152.93,,  121.25 ,121.25,"610,877.48"
Canada,291.72,"5,091.64",3.93,0.61,5.12,0.09,"5,393.11",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64.64,1.72,50.79,0.04,3.42,44.09,4.91,7.20,10.59,13.66,7.69,0.03,208.78, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"5,601.88",, Canada,280.55,"1,789.50",0.00,0.00,0.00,0.56,"2,070.62",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.20,0.14,12.72,0.00,0.00,26.46,9.63,2.87,13.97,0.54,31.95,132.47, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,"2,203.09"
Cape Verde,262.28,"1,342.55",0.00,0.00,0.00,1.13,"1,605.95","1,524.68",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,524.68",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,524.68",0.65,0.10,0.22,0.00,0.34,0.21,0.00,0.08,0.36,0.00,0.00,0.00,1.95, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"4,657.27",, Cape Verde,93.21,594.57,0.00,0.00,0.00,1.03,688.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.05,0.06,5.23,0.00,0.00,10.87,3.96,1.18,5.74,0.22,13.12,54.41, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,743.23
Cayman Islands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,0.00,, Cayman Islands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,0.00
Central African Republic,"42,302.14","133,261.72",0.00,0.00,0.00,2.13,"175,565.99","245,153.80",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"245,153.80",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"245,153.80","6,614.59",37.02,"2,711.50",0.00,"2,976.46","2,803.79",394.79,63.59,"4,136.60","1,284.40",0.00,0.00,"21,022.73", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,  19.72 ,  19.72 ,,  14.14 ,  14.14 ,"686,930.17",, Central African Republic,"18,786.75","119,831.27","3,027.73",41.42,551.38,129.81,"142,368.36","92,308.07",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"92,308.07",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"92,308.07",620.38,33.75,255.79,0.95,4.87,420.49,146.28,66.92,271.76,8.31,488.39,"2,317.88", , , , , , , , ,0.00,0.00,0.00,0.00,  122.07 ,122.07,50.16,50.16,,  90.19 ,90.19,"237,256.74"
